zipcode,price
10474,11.89
10458,45.65
11693,127.5
10457,136.6
10468,138.21
11691,146.86
10019,156.46
11236,156.8
10460,156.94
10040,156.97
10456,160.71
10473,171.02
10454,172.77
10467,173.02
10455,173.59
10452,174.82
10459,180.76
11372,185.54
10453,186.38
10463,190.23
11203,191.67
10470,193.0
11435,194.91
10305,196.43
10466,197.2
10475,201.05
10303,203.9
11207,206.75
10472,209.28
11208,209.28
11239,212.16
11214,216.2
10469,217.06
11692,219.63
11224,222.12
11374,225.31
10302,229.74
10461,231.16
10034,231.33
11233,233.99
10465,237.0
11213,239.83
11429,242.14
10301,242.5
11418,242.66
11212,244.09
10310,244.27
11238,245.17
10462,245.53
10307,245.98
10304,246.23
11433,248.64
11434,249.05
11385,249.21
11413,251.64
10004,251.69
10314,251.99
11221,252.12
11422,254.88
11412,255.25
11416,257.94
11426,258.13
10309,261.13
10032,267.3
11414,270.9
11226,272.02
11368,274.66
10308,275.97
11419,276.31
11417,279.25
11436,280.06
11378,281.41
10312,284.85
11209,285.8
11421,288.8
11415,288.9
10451,293.97
11694,294.09
11411,298.08
11216,298.91
10037,301.93
11234,303.12
11373,303.12
11428,304.89
11218,306.12
11420,306.73
10039,306.78
11423,311.33
11358,311.76
10306,312.12
11225,312.52
10021,319.43
11369,319.93
11237,321.5
10033,332.55
11220,334.02
11229,336.11
10471,336.19
11377,339.77
11219,341.17
11356,342.39
11379,349.0
11206,349.68
11432,351.14
11104,360.67
11427,362.13
11204,366.47
11001,367.65
10464,369.93
11210,370.1
11235,373.13
11231,375.78
10031,376.25
11228,384.78
11004,384.99
11105,393.99
11355,401.96
10035,402.87
11101,417.28
11370,418.1
11367,418.84
10026,419.53
11360,421.4
11362,425.86
11040,426.88
11230,428.14
11364,433.12
11223,433.78
10029,437.68
11106,440.39
11357,445.54
11232,450.64
11205,463.54
11222,465.21
11365,465.52
10024,469.79
11103,469.91
11366,476.17
10065,477.21
10012,479.98
11361,480.26
11102,490.32
11375,493.18
11363,503.73
11211,524.64
10803,543.12
10025,544.2
10027,551.01
10010,561.32
11354,579.92
10030,585.2
10017,586.84
0,595.13
11215,643.06
10003,652.75
10038,658.64
11217,660.81
10036,699.58
10013,729.21
11201,738.27
10001,757.57
10009,793.93
10016,799.53
10002,850.19
10022,854.43
10011,857.17
11249,1029.25
10023,1111.63
10005,1226.92
10128,1238.1
10280,1245.66
10006,1273.55
10014,1276.33
10018,1415.96
10028,1451.4
10069,1529.37
11109,1643.77
10075,2198.31
10007,2603.8
